,booktype,Title,Author
4612,言情,少奶奶超甜超強的,鳳元糖果
4614,言情,藏玉納珠,狂上加狂
4617,言情,影帝的隱婚妻子,雪花肉
4618,言情,皇帝偏要寵她寵她,開花不結果
4620,言情,我懷了反派的孩子,公子聞箏
3416,言情,警察叫我備案，苦練絕學的我曝光,絕月清空
4624,言情,總裁在上（總裁在上我在下）,姜小牙
4625,言情,陛下的一朵小嬌花,微桁
4628,言情,可是，我想你,映漾
4629,言情,逼婚／上校逼婚,連朔／森中一小妖
4633,言情,自爆已婚後，粉絲迷上了我老婆,蘇溦
4635,言情,鄰家哥哥,圖樣先森
3409,言情,這個天師不正經,布裡包子
3408,言情,美食：擺攤的我怎麼成廚神了？,花落花又開
3423,言情,宋小將在七零,蘇佑蓁
4596,言情,疼你無可救藥／盛開（流光之辣）,長著翅膀的大灰狼
4557,言情,渺渺何所思/怪你過分美麗,風荷游月
3425,言情,是我黑了你的機甲！,燈的開關
4558,言情,席爺每天都想官宣,公子安爺
4559,言情,下堂王妃逆襲記,邇七
4561,言情,滿城春,一枚銅錢／水月
4562,言情,邪帝狂妃：廢材逆天三小姐,水卿卿
3436,言情,[希臘神話]智慧女神,簡非離
4563,言情,穿成獸世唯一雌性後，我頂不住啦,五音先生
4565,言情,小蠻腰,姜之魚
4566,言情,重生後我和渣男離婚了,花染
4567,言情,你引起了我的注意,葉斐然
4568,言情,權寵天下,六月
4569,言情,激情雪色(限),季紗
4570,言情,大叔，輕輕吻/遇見，傅先生,無盡相思
4571,言情,美人為餡,丁墨
3435,言情,和歌壇天后一起退隱的日子,雞騎貓
3434,言情,向日傾,枕鍾
3433,言情,5t5反對悠仁改姓太宰,楓葉茶
3431,言情,真少爺他又野又乖[電競],六月的小黑
4580,言情,逢婚,顧慕白
3430,言情,雙子又在假扮對方了！,宴夜鯉
4583,言情,熾道,Twentine
4585,言情,你別太迷人,瑾餘
4587,言情,渴獸(限),樂顏
3428,言情,穿成殘疾大佬養獅崽,山山爾
3427,言情,桃色浪漫,南輕歌
4593,言情,丞相不敢當,天如玉
3544,言情,養的貓貓變帝國皇帝來求婚怎麼辦,明月清時
4115,言情,招惹,柚止
4812,言情,雲鬢鳳釵,清歌一片
3794,言情,作為噠宰妹妹的我和魔人He了,黑兔兔禿禿
3779,言情,她很軟,紅酒蔓越莓
3780,言情,不當嬌妻，勿擾[九零],辛橙
3783,言情,小可憐穿成豪門贅A後,狗狗吃骨頭
3784,言情,穿成A，抱走貓貓影后,傾眠歌
3785,言情,我讓燙男人喜當爹,惜遲暮
3786,言情,從古代吃瓜到現代,月息夏
3788,言情,不會吧，你沒有竹馬嗎,是笙
3789,言情,顧總，夫人他又去相親啦！,楚君山
3791,言情,警告！團寵小奶包她糖分超標！,顏蔓蔓
3597,言情,我成功將自己嫁給男主他爹,大紅笙
3792,言情,千金有福,耳豐蟲
3793,言情,被豪門大佬寵壞,沃木
3795,言情,蘇蘇,別四為
3747,言情,我不想只當朋友,螞蟻
3596,言情,慢熱烏龜,個訊
3595,言情,富岡小姐和幸村先生,吟少四
3798,言情,師姐寵我,改夕令朝
3799,言情,朕怎麼可能懷了皇后的崽GB,初陌笙
3800,言情,吸血鬼能下載反詐app嗎？,周木聲
3801,言情,重生年代：病美人後媽隻想鹹魚,暖心月
3802,言情,直播：我二十歲退休，回村養老了,楚國第一人
3803,言情,失聰的耳聽見他說喜歡我,林苓
3804,言情,病弱假千金種樹暴富了,鹿三么
3806,言情,異能大佬愛吃軟飯,醉南風
3808,言情,穿書後我成了男主師娘,六月歸鹿
3809,言情,孔雀嬌養日記[星際],雲深處見月
3778,言情,異界轉生後我被反派收養了,南柯十三殿
3599,言情,人魚O拿到蘇爽劇本後,叫我胖大海
3776,言情,如何為始皇崽耕出萬裡江山,木蘭竹
3775,言情,病美人師尊他想開了,路知野
3749,言情,肆光,芊栗
3750,言情,穿進年代文發現全家都是大佬,謝千鈞
3600,言情,失憶美人揣了我的崽,司笙
3752,言情,重生美利堅，這是我的時代,幸虧沒去
